vin,model_version_id,marker_name,int_value,decimal_value,text_value,datetime_active_from,datetime_active_until,report_dt,ctl_loading,market_price,year_production,engine_power,max_recorded_mileage,market_prices_accidents_count,registration_actions_count,brand,weight_max,model,engine_volume,weight_netto,engine_model,has_pts_duplicate,body_style,owner_types_count,body_color,drive_type,reg_action_types_count,used_in_taxi,shap_year_production,shap_engine_power,shap_max_recorded_mileage,shap_market_prices_accidents_count,shap_registration_actions_count,shap_brand,shap_weight_max,shap_model,shap_engine_volume,shap_weight_netto,shap_engine_model,shap_has_pts_duplicate,shap_body_style,shap_owner_types_count,shap_body_color,shap_drive_type,shap_reg_action_types_count,shap_used_in_taxi,shap_sum,expected_value,shap_diff,datetime_published
JMBLYV98W8J500319,349653,ER01,,1556054.0896794498,,2026-07-01,2026-07-30,2026-06-30,171218714,1556054.0896794498,2007,165.0,209025.0,0,0,14,2910,140005,3200.0,2290,377,0,1,0,2,2,0,0,62774.90947661098,-1143480.2559171368,47598.90030423509,99806.88815633803,150864.60498048348,105689.990049312,13766.899915611379,13887.579559672653,-60634.77099325251,-113766.68608227684,-24234.78860611012,346904.1185591679,205631.47361771693,-2974.562534324375,3831.782004769823,13777.857295777578,29299.880835039257,4353.08648967582,-246903.09288868963,-0.6924318616225875,1802957.875000001,2026-06-30
Z8TXTGF2WGM009329,349653,ER01,,1655738.4122160655,,2026-07-01,2026-07-30,2026-06-30,171218714,1655738.4122160655,2015,146.0,96252.0,0,0,14,1985,140001,1998.0,1565,31,0,1,0,1,2,0,0,56386.672062933976,-630667.676112088,44369.97975564646,24870.832253742858,78152.77785734828,95468.766903648,8026.909529322133,-2262.28442814331,50364.164293075395,34934.66774204116,-6131.762499525005,47281.67625749253,23536.7124801922,12490.209044250825,-1890.7629494344253,8966.285932816907,2987.1316230204134,5896.929901586727,-147218.77035207293,-0.6924318616225875,1802957.875,2026-06-30
Z8TXTGF2WHM012151,349653,ER01,,1817623.3199668508,,2026-07-01,2026-07-30,2026-06-30,171218714,1817623.3199668508,2016,145.5,96252.0,0,0,14,1985,140001,1998.0,1560,31,0,1,0,1,4,0,0,55244.77876247168,-496970.3411143789,44533.844984675074,40647.10406596754,86482.75857282076,93593.99022106641,15100.620770465328,-3281.8487179926733,45761.48280404398,36233.821866261766,-4075.5481825149873,31688.849146266628,18622.77765936903,33951.225775980616,-1889.9664418604889,8966.285932816907,4018.6745154179503,6037.626777834383,14666.137398711004,-0.6924318616225875,1802957.8750000014,2026-06-30
Z8TGUKS10JM014285,349653,ER01,,3428534.378998697,,2026-07-01,2026-07-30,2026-06-30,171218714,3428534.378998697,2019,181.0,96252.0,0,0,14,2710,140004,2442.0,2095,272,0,1,0,3,2,0,0,64759.324682927276,352890.81249406456,55953.98978343419,55199.46734080566,14616.546317282524,241004.1651876635,16620.543698523554,-13785.113463515718,34240.56916951844,59064.050997600396,-18877.920188661163,655027.7335422052,23951.892629763955,31879.44297689094,2965.1073804124767,9356.92264772332,33389.328944431996,7320.332289487312,1625577.1964305586,-0.6924318616225875,1802957.8749999998,2026-06-30
JMBSRCY2A8U013277,349653,ER01,,766342.7313515544,,2026-07-01,2026-07-30,2026-06-30,171218714,766342.7313515544,2008,109.0,209025.0,0,0,14,1850,140002,1499.0,1410,59,0,2,0,2,1,0,0,64000.59047532586,-940493.4466513508,34187.74525183835,20730.789544580675,-23759.37992107196,-110390.07577943885,34909.31669305891,-5743.695591941497,-1276.0327722612278,-113298.36309836738,-4002.8198877428363,-18332.624146641014,-3865.133403571494,-15785.962457419537,-346.0059159048203,5319.940449935209,36999.28426257218,4531.421731816421,-1036614.4512165838,-0.6924318616225875,1802957.875,2026-06-30
XMCSNDA1A3F026730,349653,ER01,,650851.1423970759,,2026-07-01,2026-07-30,2026-06-30,171218714,650851.1423970759,2003,103.0,249370.0,0,0,14,1850,140020,1597.0,1410,4564,0,2,0,4,1,0,0,41520.91489535605,-1148104.3501309452,31116.40883537466,87747.79526914046,-43418.991275467124,-112254.05306604071,35819.18771160161,-10194.37350898442,55584.36216033612,-172020.3130726332,4820.176039025971,-7060.982994297155,-7825.02212059886,-10011.002444255068,14129.194728694401,5130.40925206627,78608.62543864654,4305.974111916874,-1152106.0401710628,-0.6924318616225875,1802957.8750000002,2026-06-30
JMBSTCY3A8U008188,349653,ER01,,819035.7319680136,,2026-07-01,2026-07-30,2026-06-30,171218714,819035.7319680136,2008,143.0,209025.0,0,0,14,1850,140002,1798.0,1410,59,0,2,0,2,1,0,0,49110.68685574552,-1018196.0995314645,36776.56580103837,22958.398471348264,-41852.6850103622,69742.7086742638,38400.32317366561,-93.58744224022661,6340.144684797117,-119792.1371607102,-11694.528693146529,-41084.98686758398,-10475.464610819077,-15386.608284078238,212.8349699153773,5579.747061553635,41194.5073277209,4338.729980230839,-983921.4506001257,-0.6924318616225875,1802957.875000001,2026-06-30
JMBSRCS3A6U009111,349653,ER01,,582413.2020116448,,2026-07-01,2026-07-30,2026-06-30,171218714,582413.2020116448,2005,98.0,209025.0,0,0,14,1750,140002,1584.0,1300,115,0,2,0,4,1,0,0,46283.913015035105,-1059062.172967217,30217.851295913853,25311.482370595662,-16528.38768163073,-124128.75793073027,26234.20083862429,-6183.516635919369,-13036.80753718099,-108087.61117959359,-15751.54144263839,-55425.18424487594,4428.804890055348,-10271.198920146227,7403.842040944099,4833.160671164804,38982.88920726199,4235.053653844837,-1220543.9805564922,-0.6924318616225875,1802957.8749999986,2026-06-30
JMBSNCY4A9U000263,349653,ER01,,917711.2780567091,,2026-07-01,2026-07-30,2026-06-30,171218714,917711.2780567091,2008,150.0,209025.0,0,0,14,1850,140002,1998.0,1410,59,0,2,0,2,1,0,0,52764.91132222042,-1040697.6202384881,40322.50603535775,16642.404468856785,32733.939668305266,124790.14801785459,39350.70446768907,2432.703913567432,-2146.7737165335775,-121432.04733305532,-12910.694132386929,-69169.91198778007,13321.517177676551,-15892.019814928864,457.35566373755216,8737.82229413973,40827.20794239561,4621.941739942497,-885245.9045114295,-0.6924318616225875,1802957.8750000002,2026-06-30
JMBXTGK1WKZ004143,349653,ER01,,2540509.687274456,,2026-07-01,2026-07-30,2026-06-30,171218714,2540509.687274456,2019,150.0,96252.0,0,0,14,2100,140008,1499.0,1570,574,0,1,0,3,2,0,0,62769.71931835174,87807.4307712703,50034.344812260424,121118.308144106,-65682.58578807836,88041.37554097647,42922.02821495499,-18207.650392437346,2209.708758287158,46606.79010206443,12874.762582995636,183490.8864272476,24816.585239451302,33078.8522392272,4277.097829361722,7413.728804770876,47074.85307179138,6906.269029716122,737552.5047063177,-0.6924318616225875,1802957.875,2026-06-30
